                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0776,                 2.6809,                 1.1657,                0.04829,                0.93297,                0.69659,                0.53034,                0.88346,                 2.8233,                0.96499,             0.00025005,             0.00025005,             0.00025005
                      2,                0.84038,                 1.2372,                0.99563,                0.89145,                0.40636,                0.89111,                0.73126,                0.68983,                 2.5571,                0.91547,             0.00051421,             0.00051421,             0.00051421
                      3,                   0.76,                  1.031,                0.95774,                0.90558,                0.70472,                0.91041,                 0.7632,                0.66896,                 2.2517,                 0.9166,             0.00077573,             0.00077573,             0.00077573
                      4,                0.74093,                0.96513,                0.98177,                0.93341,                0.52762,                0.88245,                0.72194,                0.67457,                 2.4229,                0.92473,              0.0010346,              0.0010346,              0.0010346
                      5,                0.76176,                 0.9948,                0.97765,                0.84066,                0.85122,                0.92285,                0.75334,                0.68669,                 1.5804,                0.93257,              0.0012909,              0.0012909,              0.0012909
                      6,                0.71722,                0.86005,                0.96379,                0.87176,                0.81956,                0.91681,                0.77464,                0.65896,                 1.3917,                 0.9332,              0.0015445,              0.0015445,              0.0015445
                      7,                 0.6867,                0.84446,                0.96364,                0.96011,                0.87498,                0.92954,                0.80871,                0.60526,                 1.0002,                0.89866,              0.0016175,              0.0016175,              0.0016175
                      8,                0.71585,                0.84889,                0.97534,                0.92619,                0.89724,                0.92388,                0.77929,                0.56973,                0.88613,                0.88206,              0.0016092,              0.0016092,              0.0016092
                      9,                0.67838,                0.81484,                0.96151,                 0.9415,                0.86126,                  0.937,                0.81365,                0.56823,                 0.8694,                0.89364,               0.001601,               0.001601,               0.001601
                     10,                0.65512,                0.73301,                0.95101,                 0.9166,                0.90989,                0.93053,                0.81166,                0.54468,                 0.7729,                0.89205,              0.0015927,              0.0015927,              0.0015927
                     11,                0.65119,                0.70782,                0.94224,                0.94555,                 0.9037,                0.94579,                0.83883,                0.51343,                0.74423,                0.87193,              0.0015845,              0.0015845,              0.0015845
                     12,                0.64569,                 0.7135,                0.94992,                0.93839,                0.88655,                0.95801,                0.83766,                0.55032,                0.71332,                0.86927,              0.0015762,              0.0015762,              0.0015762
                     13,                0.63179,                0.68774,                0.94232,                0.90921,                0.94039,                0.96966,                0.82783,                0.58368,                0.70085,                 0.8809,               0.001568,               0.001568,               0.001568
                     14,                0.63881,                0.66432,                0.92127,                0.95017,                0.92406,                 0.9546,                0.83917,                0.52113,                0.67486,                0.85258,              0.0015597,              0.0015597,              0.0015597
                     15,                0.65546,                0.65665,                0.95809,                0.98592,                 0.8975,                0.97531,                0.84399,                0.54355,                0.63883,                0.86596,              0.0015515,              0.0015515,              0.0015515
                     16,                0.60621,                0.61926,                0.94091,                0.90072,                0.92254,                0.96506,                0.83835,                0.49468,                0.66048,                0.86372,              0.0015432,              0.0015432,              0.0015432
                     17,                 0.6176,                0.63596,                 0.9388,                0.95713,                0.90141,                0.98472,                0.85533,                0.48631,                0.57469,                0.84639,               0.001535,               0.001535,               0.001535
                     18,                 0.6084,                0.59132,                 0.9356,                0.86932,                0.95775,                0.96362,                0.82155,                0.55273,                0.59528,                0.86097,              0.0015267,              0.0015267,              0.0015267
                     19,                0.59785,                0.58365,                0.92947,                0.97882,                0.89533,                 0.9587,                0.82578,                0.50314,                0.55925,                0.85011,              0.0015185,              0.0015185,              0.0015185
                     20,                0.57647,                0.57307,                0.91636,                0.97448,                0.91872,                0.97187,                0.84178,                0.49728,                0.50607,                0.83144,              0.0015102,              0.0015102,              0.0015102
                     21,                0.57999,                0.55634,                0.92906,                0.96572,                0.88316,                0.96477,                0.85516,                0.47963,                0.52392,                0.83856,               0.001502,               0.001502,               0.001502
                     22,                 0.5851,                0.56517,                0.91938,                0.92575,                  0.925,                0.96258,                0.85787,                 0.4745,                0.57052,                0.83842,              0.0014937,              0.0014937,              0.0014937
                     23,                0.58591,                0.56775,                0.94029,                0.93067,                0.91048,                0.94517,                0.84049,                0.45828,                0.52848,                0.83155,              0.0014855,              0.0014855,              0.0014855
                     24,                0.56638,                0.53263,                0.92714,                0.90786,                0.95775,                0.96644,                0.85553,                 0.4865,                0.50206,                0.83395,              0.0014772,              0.0014772,              0.0014772
                     25,                0.58142,                  0.552,                 0.9271,                 0.9521,                0.89861,                0.95717,                0.85475,                0.44935,                0.54049,                 0.8192,               0.001469,               0.001469,               0.001469
                     26,                0.56206,                0.50569,                0.91314,                0.93835,                0.93502,                 0.9745,                0.87738,                0.44029,                0.46965,                0.82117,              0.0014607,              0.0014607,              0.0014607
                     27,                0.54352,                0.50927,                0.91052,                 0.9108,                0.87326,                0.95303,                0.85606,                0.44757,                0.56984,                0.83591,              0.0014525,              0.0014525,              0.0014525
                     28,                 0.5338,                0.48039,                0.91425,                0.91294,                0.96038,                0.97463,                0.88665,                0.43541,                0.43039,                0.82865,              0.0014442,              0.0014442,              0.0014442
                     29,                 0.5321,                0.48231,                0.90922,                0.93499,                0.86213,                0.95204,                 0.8528,                0.47368,                0.53933,                 0.8388,               0.001436,               0.001436,               0.001436
                     30,                0.56683,                0.48969,                0.92202,                0.82061,                0.89506,                0.93176,                0.84419,                0.48707,                0.71917,                0.83422,              0.0014277,              0.0014277,              0.0014277
                     31,                 0.5214,                0.47286,                 0.9044,                0.92874,                0.92932,                0.95908,                0.84045,                0.49339,                0.45419,                0.83542,              0.0014195,              0.0014195,              0.0014195
                     32,                0.53629,                0.46492,                0.90756,                0.92497,                 0.9633,                0.98219,                 0.8869,                 0.4558,                 0.4162,                0.81706,              0.0014112,              0.0014112,              0.0014112
                     33,                0.55754,                0.49472,                0.92215,                0.96097,                0.89335,                0.96147,                0.86096,                0.45179,                0.48999,                0.82701,              0.0014029,              0.0014029,              0.0014029
                     34,                0.55943,                0.47638,                0.91519,                  0.924,                0.95973,                0.98513,                0.87841,                 0.4585,                0.41051,                0.82822,              0.0013947,              0.0013947,              0.0013947
                     35,                0.52757,                0.45231,                 0.9045,                0.90435,                0.97006,                0.98082,                 0.8814,                0.46156,                0.41636,                0.82232,              0.0013864,              0.0013864,              0.0013864
                     36,                0.53392,                0.45336,                0.90176,                0.93997,                0.94001,                 0.9775,                0.89964,                0.44537,                0.39489,                0.81608,              0.0013782,              0.0013782,              0.0013782
                     37,                0.50801,                0.43559,                0.91013,                0.94749,                0.94705,                0.97943,                0.89292,                  0.454,                0.38947,                 0.8253,              0.0013699,              0.0013699,              0.0013699
                     38,                0.53215,                0.46019,                0.91448,                0.95233,                 0.9327,                0.97207,                0.89183,                0.42983,                 0.4091,                0.81551,              0.0013617,              0.0013617,              0.0013617
                     39,                0.51201,                0.43825,                 0.9051,                0.89732,                0.94366,                0.97123,                 0.8989,                0.40295,                0.39861,                0.80869,              0.0013534,              0.0013534,              0.0013534
                     40,                0.52064,                0.44755,                0.90827,                0.88039,                0.96453,                 0.9665,                0.90148,                0.39341,                0.39686,                0.80259,              0.0013452,              0.0013452,              0.0013452
                     41,                0.49884,                0.40587,                0.90051,                0.96459,                0.91738,                0.98269,                0.90475,                0.42767,                0.37137,                0.80917,              0.0013369,              0.0013369,              0.0013369
                     42,                0.50007,                0.43091,                0.89817,                 0.9584,                0.90837,                0.97992,                0.90125,                0.41646,                0.37289,                 0.8128,              0.0013287,              0.0013287,              0.0013287
                     43,                0.49285,                0.42018,                0.90181,                0.92455,                0.95821,                0.97625,                0.89579,                 0.4203,                0.37303,                0.81542,              0.0013204,              0.0013204,              0.0013204
                     44,                0.50753,                0.41977,                0.90975,                0.95099,                0.94705,                0.98116,                0.87549,                0.46885,                0.37719,                0.82994,              0.0013122,              0.0013122,              0.0013122
                     45,                0.51492,                0.42913,                0.90807,                0.94221,                0.96226,                0.98409,                0.91048,                0.42306,                0.36351,                0.82173,              0.0013039,              0.0013039,              0.0013039
                     46,                0.48148,                0.41358,                0.89737,                0.96001,                0.93902,                0.98151,                 0.9022,                0.42843,                 0.3775,                0.81865,              0.0012957,              0.0012957,              0.0012957
                     47,                0.49965,                0.42325,                0.89077,                 0.9475,                0.96114,                0.98261,                0.89008,                0.44035,                0.39058,                0.81704,              0.0012874,              0.0012874,              0.0012874
                     48,                0.48443,                0.41738,                0.89528,                0.92589,                0.96438,                0.98442,                0.89971,                0.43593,                0.37063,                0.81946,              0.0012792,              0.0012792,              0.0012792
                     49,                0.49451,                0.42614,                0.89312,                0.94318,                0.93724,                0.98051,                0.89786,                0.42276,                0.40026,                0.81707,              0.0012709,              0.0012709,              0.0012709
                     50,                0.49274,                0.40979,                0.88744,                0.96944,                0.91205,                0.97401,                0.89654,                0.40481,                0.38248,                0.80507,              0.0012627,              0.0012627,              0.0012627
                     51,                0.49247,                 0.4353,                0.90549,                0.96215,                0.91159,                0.97832,                0.90129,                0.40679,                0.36438,                0.80905,              0.0012544,              0.0012544,              0.0012544
                     52,                0.48713,                0.40638,                0.89593,                0.92313,                0.94589,                0.97261,                0.89578,                 0.4367,                0.38083,                0.82113,              0.0012462,              0.0012462,              0.0012462
                     53,                0.48707,                0.41587,                0.87864,                 0.9176,                0.96207,                0.98167,                0.89628,                0.46245,                0.42651,                0.83494,              0.0012379,              0.0012379,              0.0012379
                     54,                0.47742,                0.39869,                0.89084,                0.91096,                0.94308,                0.97384,                0.89475,                0.44466,                 0.4267,                0.82674,              0.0012297,              0.0012297,              0.0012297
                     55,                0.48345,                0.40283,                0.89226,                0.92997,                0.90563,                0.96801,                0.90535,                0.41319,                  0.402,                0.81044,              0.0012214,              0.0012214,              0.0012214
                     56,                0.48682,                0.40489,                0.89056,                0.93347,                0.92838,                0.97341,                0.89886,                0.41705,                0.35277,                0.81324,              0.0012132,              0.0012132,              0.0012132
